image_path,folder_label,caption
images/Ho Chi Minh City_urls/image_178.jpg,Ho Chi Minh City_urls,"sunset over the city of ho chi minh, ho chi minh, ho chi minh, ho chi minh, ho chi minh, ho chi minh, ho chi minh, ho minh, ho minh, ho chi minh, ho chi minh, ho minh, ho chi minh, ho chi minh, ho chi minh, ho minh, ho chi minh, ho"
images/Ho Chi Minh City_urls/image_150.jpg,Ho Chi Minh City_urls,night time view of a city with a lot of traffic and a lot of tall buildings in the background
images/Ho Chi Minh City_urls/image_144.jpg,Ho Chi Minh City_urls,night time view of a rooftop bar with red stools and a cityscape in the background
images/Ho Chi Minh City_urls/image_15.jpg,Ho Chi Minh City_urls,there is a group of people that are posing for a picture in the middle of a city street
images/Ho Chi Minh City_urls/image_29.jpg,Ho Chi Minh City_urls,"this is a picture of a picture of a map of the country of new york, with a city in the background"
images/Ho Chi Minh City_urls/image_28.jpg,Ho Chi Minh City_urls,there are a lot of boats that are in the water near a bridge and a city in the background
images/Ho Chi Minh City_urls/image_14.jpg,Ho Chi Minh City_urls,map of the city of ho chi minhh city tourist map with many places to see and where to go
images/Ho Chi Minh City_urls/image_145.jpg,Ho Chi Minh City_urls,this is an image of a man and a woman posing for a picture in front of a building
images/Ho Chi Minh City_urls/image_151.jpg,Ho Chi Minh City_urls,"collage of photos of a city with a church, a clock tower, and a clock tower"
images/Ho Chi Minh City_urls/image_179.jpg,Ho Chi Minh City_urls,there is a statue of a man in front of a building with a red flag on top of it
images/Ho Chi Minh City_urls/image_186.jpg,Ho Chi Minh City_urls,there are many palm trees in front of a building with a clock tower on the top of the building
images/Ho Chi Minh City_urls/image_192.jpg,Ho Chi Minh City_urls,there is a large building with a flag on top of it in the middle of a green field
images/Ho Chi Minh City_urls/image_184.jpg,Ho Chi Minh City_urls,there is a view of a river and a city from a bridge in the middle of the day
images/Ho Chi Minh City_urls/image_190.jpg,Ho Chi Minh City_urls,an aerial view of a city skyline at dusk with a bridge over a river in the foreground and a bridge in the foreground
images/Ho Chi Minh City_urls/image_147.jpg,Ho Chi Minh City_urls,aerial view of a city at night with a river running through the middle of the city and a bridge in the middle of the city
images/Ho Chi Minh City_urls/image_153.jpg,Ho Chi Minh City_urls,an aerial view of a city with a lot of buildings and a body of water in the foreground
images/Ho Chi Minh City_urls/image_16.jpg,Ho Chi Minh City_urls,aerial view of a large city with a river running through it and a tall building in the middle of the city
images/Ho Chi Minh City_urls/image_17.jpg,Ho Chi Minh City_urls,"there are many people riding motorcycles down this street in ho chi minh city, district 1, vietnam"
images/Ho Chi Minh City_urls/image_152.jpg,Ho Chi Minh City_urls,there is a view of a city from a bird ' s - eye view of a park and a river
images/Ho Chi Minh City_urls/image_146.jpg,Ho Chi Minh City_urls,there is a train that is going over a bridge with a cityscape in the back ground
images/Ho Chi Minh City_urls/image_191.jpg,Ho Chi Minh City_urls,there is a statue in the middle of a square in front of a church with a clock tower
images/Ho Chi Minh City_urls/image_185.jpg,Ho Chi Minh City_urls,aerial view of a city with a lot of tall buildings and a lot of people on the street
images/Ho Chi Minh City_urls/image_181.jpg,Ho Chi Minh City_urls,there are many people that are walking down the street in the city at night and one person is sitting on a bench
images/Ho Chi Minh City_urls/image_195.jpg,Ho Chi Minh City_urls,"this is a map of the city of richmond, virginia with the counties highlighted in blue and yellow"
images/Ho Chi Minh City_urls/image_142.jpg,Ho Chi Minh City_urls,vector illustration of a city skyline with a plane flying over it and the words vietnam on the side of it
images/Ho Chi Minh City_urls/image_156.jpg,Ho Chi Minh City_urls,an aerial view of a city with tall buildings and a river in the middle of the middle of the city
images/Ho Chi Minh City_urls/image_13.jpg,Ho Chi Minh City_urls,nighttime view of a city skyline with a body of water in the foreground and buildings in the background
images/Ho Chi Minh City_urls/image_12.jpg,Ho Chi Minh City_urls,there are many trees in the middle of the road in the middle of a city with tall buildings in the background
images/Ho Chi Minh City_urls/image_157.jpg,Ho Chi Minh City_urls,"there are many people walking down the street in the city at night, and many of them are sitting on stools"
images/Ho Chi Minh City_urls/image_143.jpg,Ho Chi Minh City_urls,nighttime view of a city skyline with a body of water in the foreground and skyscrapers in the background
images/Ho Chi Minh City_urls/image_194.jpg,Ho Chi Minh City_urls,"this is a map of china showing the location of the city of wuhan, and the location of the city of wuhan, and the location of the city of wuhan county of wuhan"
images/Ho Chi Minh City_urls/image_180.jpg,Ho Chi Minh City_urls,crowd of people in a crowded city street at night with neon signs on buildings and people walking on the sidewalk
images/Ho Chi Minh City_urls/image_196.jpg,Ho Chi Minh City_urls,an aerial view of a city with a lot of buildings and a lot of people walking around it
images/Ho Chi Minh City_urls/image_182.jpg,Ho Chi Minh City_urls,there is a statue of a man standing in front of a building with a flag on top of it
images/Ho Chi Minh City_urls/image_155.jpg,Ho Chi Minh City_urls,crowd of people walking down a city street at night with neon signs on buildings and people sitting on benches
images/Ho Chi Minh City_urls/image_141.jpg,Ho Chi Minh City_urls,there are many people walking down the street at night with their arms in the air and one person on a scooter
images/Ho Chi Minh City_urls/image_169.jpg,Ho Chi Minh City_urls,aerial view of a city at dusk with a river running through the middle of the city and a river running through the middle of the city
images/Ho Chi Minh City_urls/image_38.jpg,Ho Chi Minh City_urls,this is a map of the country of cambodia with all the major cities and major roads on it
images/Ho Chi Minh City_urls/image_10.jpg,Ho Chi Minh City_urls,night time view of a city square with a clock tower in the middle of the square and a fountain in the middle of the square
images/Ho Chi Minh City_urls/image_11.jpg,Ho Chi Minh City_urls,there is a fish eye view of a city with a river in the foreground and buildings on the other side of the river
images/Ho Chi Minh City_urls/image_39.jpg,Ho Chi Minh City_urls,there is a large building with a clock tower in the middle of a plaza at dusk with palm trees in the foreground
images/Ho Chi Minh City_urls/image_168.jpg,Ho Chi Minh City_urls,there are many motorcyclists riding down the street in a large number of cars and motorcycles
images/Ho Chi Minh City_urls/image_140.jpg,Ho Chi Minh City_urls,there is a courtyard with a fountain in the middle of it and a building in the back ground
images/Ho Chi Minh City_urls/image_154.jpg,Ho Chi Minh City_urls,nighttime view of a city skyline with a boat in the foreground and a body of water in the foreground
images/Ho Chi Minh City_urls/image_183.jpg,Ho Chi Minh City_urls,there is a large white building with a red roof and a clock tower on the top of it
images/Ho Chi Minh City_urls/image_197.jpg,Ho Chi Minh City_urls,an aerial view of a city with lots of tall buildings and a river in the middle of it
images/Ho Chi Minh City_urls/image_133.jpg,Ho Chi Minh City_urls,there is a statue of a man and a woman in front of a building with a clock tower
images/Ho Chi Minh City_urls/image_127.jpg,Ho Chi Minh City_urls,there is a boat that is floating in the water near a large city with skyscrapers in the background
images/Ho Chi Minh City_urls/image_76.jpg,Ho Chi Minh City_urls,"aerial view of cityscape at dusk, ho chi minh district, ho chi minh district, ho chi minh district, ho chi minh district, ho chi minh district, ho chi minh district, ho chi minh district, ho chi minh district, ho chi minh district, ho chi minh district, ho chi minh district, ho chi minh district, ho"
images/Ho Chi Minh City_urls/image_62.jpg,Ho Chi Minh City_urls,"the boutique hotel is located in the heart of the city, and is located on the corner of the street"
images/Ho Chi Minh City_urls/image_89.jpg,Ho Chi Minh City_urls,"ho chi minhh things you must do in ho chi minhh, ho chi minhh, ho chi minhh, ho chi minhh, ho chi minhh, ho chi minhh, ho chi minhh, ho chi minhh"
images/Ho Chi Minh City_urls/image_88.jpg,Ho Chi Minh City_urls,an aerial view of a city at night with a river running through it and a bridge in the foreground
images/Ho Chi Minh City_urls/image_63.jpg,Ho Chi Minh City_urls,there are many people walking down the street in the city on a sunny day with no one on the street
images/Ho Chi Minh City_urls/image_77.jpg,Ho Chi Minh City_urls,there is a large yellow building with many windows and balconies on the side of the building
images/Ho Chi Minh City_urls/image_126.jpg,Ho Chi Minh City_urls,an aerial view of a city with a river running through it and a bridge crossing over the river
images/Ho Chi Minh City_urls/image_132.jpg,Ho Chi Minh City_urls,there is a poster for a festival with a map of the city and a kite flying in the sky
images/Ho Chi Minh City_urls/image_118.jpg,Ho Chi Minh City_urls,there are many people walking down the street in a city area with trees on both sides of the street
images/Ho Chi Minh City_urls/image_124.jpg,Ho Chi Minh City_urls,there is a man riding a scooter in front of a building with a fountain in front of it
images/Ho Chi Minh City_urls/image_130.jpg,Ho Chi Minh City_urls,aerial view of a city skyline at dusk with a river in the foreground and a bridge in the foreground
images/Ho Chi Minh City_urls/image_61.jpg,Ho Chi Minh City_urls,there are many pictures of a street market at night with people walking and shopping on the sidewalk and on the street
images/Ho Chi Minh City_urls/image_75.jpg,Ho Chi Minh City_urls,there is a large body of water in the middle of a city with tall buildings on the other side of it
images/Ho Chi Minh City_urls/image_8.jpg,Ho Chi Minh City_urls,view of a city skyline at dusk with a river in the foreground and a body of water in the foreground
images/Ho Chi Minh City_urls/image_49.jpg,Ho Chi Minh City_urls,grassy area in front of skyscrapers with people sitting on benches in the foreground and palm trees in the foreground
images/Ho Chi Minh City_urls/image_48.jpg,Ho Chi Minh City_urls,there are many motorcyclists riding down the street in a crowded area of an asian city
images/Ho Chi Minh City_urls/image_9.jpg,Ho Chi Minh City_urls,there is a large building with a clock tower in the middle of the city at night with cars passing by
images/Ho Chi Minh City_urls/image_74.jpg,Ho Chi Minh City_urls,there is a large body of water with rocks in front of a cityscape and a body of water with rocks in the foreground
images/Ho Chi Minh City_urls/image_60.jpg,Ho Chi Minh City_urls,nighttime view of a city skyline over a body of water with a small island in the middle of the water
images/Ho Chi Minh City_urls/image_131.jpg,Ho Chi Minh City_urls,there are many people riding motorcycles down the street in the city on the street are tall buildings and many people are riding bikes
images/Ho Chi Minh City_urls/image_125.jpg,Ho Chi Minh City_urls,nighttime view of a city skyline with a body of water in the foreground and lights reflecting off of the water
images/Ho Chi Minh City_urls/image_119.jpg,Ho Chi Minh City_urls,an aerial view of a large building next to a body of water with a city in the background
images/Ho Chi Minh City_urls/image_121.jpg,Ho Chi Minh City_urls,there is a man that is standing in front of a building with a flag on top of it
images/Ho Chi Minh City_urls/image_135.jpg,Ho Chi Minh City_urls,there is a large body of water in the middle of a city with tall buildings in the background
images/Ho Chi Minh City_urls/image_109.jpg,Ho Chi Minh City_urls,aerial view of a city at dusk with a river running through the middle of the city and a tall building in the middle of the city
images/Ho Chi Minh City_urls/image_58.jpg,Ho Chi Minh City_urls,night time view of a busy city street with lots of cars and people in the middle of the street
images/Ho Chi Minh City_urls/image_64.jpg,Ho Chi Minh City_urls,an aerial view of a city at night with a lot of traffic in the foreground and buildings in the background
images/Ho Chi Minh City_urls/image_70.jpg,Ho Chi Minh City_urls,there are many people walking down the street at night in a crowded area with neon signs on the buildings
images/Ho Chi Minh City_urls/image_71.jpg,Ho Chi Minh City_urls,an aerial view of a city with a river in the foreground and a bridge in the foreground
images/Ho Chi Minh City_urls/image_65.jpg,Ho Chi Minh City_urls,there are many people walking down the street at night with lanterns hanging from the ceiling of the buildings
images/Ho Chi Minh City_urls/image_59.jpg,Ho Chi Minh City_urls,there are many people standing on the side of the street at night with balloons in front of them
images/Ho Chi Minh City_urls/image_108.jpg,Ho Chi Minh City_urls,there is a large building with a clock tower in the middle of a city street at night with a lot of people walking around it
images/Ho Chi Minh City_urls/image_134.jpg,Ho Chi Minh City_urls,there is a man riding a bike in front of a building with a sign on the side of it
images/Ho Chi Minh City_urls/image_120.jpg,Ho Chi Minh City_urls,an aerial view of a highway with a bridge over it and a city in the background with a text that reads infrastructure hocchwin city path to new heaven
images/Ho Chi Minh City_urls/image_136.jpg,Ho Chi Minh City_urls,aerial view of a river running through a city next to a large body of water in the middle of a city
images/Ho Chi Minh City_urls/image_122.jpg,Ho Chi Minh City_urls,there are a lot of people that are walking around in the street with dragon decorations on the street
images/Ho Chi Minh City_urls/image_73.jpg,Ho Chi Minh City_urls,there are many people walking down the street in a city with tall buildings and balconies on either side of the street
images/Ho Chi Minh City_urls/image_67.jpg,Ho Chi Minh City_urls,aerial view of a city skyline at dusk with a river in the foreground and a body of water in the foreground
images/Ho Chi Minh City_urls/image_98.jpg,Ho Chi Minh City_urls,"there are many different pictures of a city at night and in the middle of the picture, there is a building, a clock tower, and a motorcycle"
images/Ho Chi Minh City_urls/image_99.jpg,Ho Chi Minh City_urls,there are many palm trees in front of a building with a clock tower on the top of the building
images/Ho Chi Minh City_urls/image_66.jpg,Ho Chi Minh City_urls,there is a pond with water lilies in front of a building with a fountain in front of it
images/Ho Chi Minh City_urls/image_72.png,Ho Chi Minh City_urls,there is a picture of a video game with a person on a skateboard in the middle of the picture
images/Ho Chi Minh City_urls/image_123.jpg,Ho Chi Minh City_urls,this is a picture of a statue of a man in front of a building with a blue sky in the background
images/Ho Chi Minh City_urls/image_137.jpg,Ho Chi Minh City_urls,nighttime view of a city skyline with a river running through it and a bridge in the foreground
images/Ho Chi Minh City_urls/image_112.jpg,Ho Chi Minh City_urls,night view of a city skyline with a body of water in the foreground and skyscrapers in the background
images/Ho Chi Minh City_urls/image_106.jpg,Ho Chi Minh City_urls,an aerial view of a city with a river running through it and a bridge crossing over the water
images/Ho Chi Minh City_urls/image_57.jpg,Ho Chi Minh City_urls,there is a woman that is standing in front of a book store with many books on the shelves
images/Ho Chi Minh City_urls/image_2.jpg,Ho Chi Minh City_urls,aerial view of a city at night with a clock tower in the middle of the street and a street light in the middle of the street
images/Ho Chi Minh City_urls/image_43.jpg,Ho Chi Minh City_urls,there is a picture of a cityscape with the words ho chi minh city is not the capital of vietnam the capital is hanoi
